anusha@macbook-air ~ % /usr/bin/python3 /Users/anusha/stock_api.py
Data fetched
                  date    date_utc    open    high     low   close   volume
1739564100  14-02-2025  1739564100  244.15  244.24  243.96  244.15   266157
1739564400  14-02-2025  1739564400  244.15  244.24  244.11  244.18   238845
1739564700  14-02-2025  1739564700  244.18  244.25  244.05   244.1   233116
1739565000  14-02-2025  1739565000  244.08  244.34  243.91   244.3   370503
1739565300  14-02-2025  1739565300  244.27  244.37  244.15  244.27   396243
1739565600  14-02-2025  1739565600  244.28  244.38  244.05  244.31   367954
1739565900  14-02-2025  1739565900   244.3  244.38  244.21  244.32   406058
1739566200  14-02-2025  1739566200  244.58  245.41  244.25  245.03  1392205
1739566500  14-02-2025  1739566500  245.04  245.11  244.51  244.57  1949568
1739566800  14-02-2025  1739566800   244.6   244.6   244.6   244.6        0
